	Team 1	Team 2	Home_team_score	Away_team_score
5730	Ipswich Town FC (	Charlton Athletic FC (	0	0
5731	Leeds United FC (	Queens Park Rangers FC (	1	1
5732	Middlesbrough FC (	Huddersfield Town AFC (	3	0
5733	Milton Keynes Dons FC (	Wolverhampton Wanderers FC (	1	2
5734	Preston North End FC (	Fulham FC (	1	2
5735	Reading FC (	Nottingham Forest FC (	2	1
5736	Sheffield Wednesday FC (	Blackburn Rovers FC (	2	1
5737	Bristol City FC (	Sheffield Wednesday FC (	4	1
5738	Burnley FC (	Leeds United FC (	1	0
5739	Derby County FC (	Bolton Wanderers FC (	4	1
5740	Fulham FC (	Cardiff City FC (	2	1
5741	Huddersfield Town AFC (	Hull City AFC (	2	2
5742	Ipswich Town FC (	Brentford FC (	1	3
5743	Middlesbrough FC (	Preston North End FC (	1	0
5744	Milton Keynes Dons FC (	Rotherham United FC (	0	4
5745	Queens Park Rangers FC (	Charlton Athletic FC (	2	1
5746	Reading FC (	Birmingham City FC (	0	2
5747	Wolverhampton Wanderers FC (	Blackburn Rovers FC (	0	0
5748	Nottingham Forest FC (	Brighton & Hove Albion FC (	1	2
5749	Birmingham City FC (	Leeds United FC (	1	2
5750	Middlesbrough FC (	Reading FC (	2	1
5751	Brighton & Hove Albion FC (	Fulham FC (	5	0
5752	Hull City AFC (	Wolverhampton Wanderers FC (	2	1
5753	Birmingham City FC (	Burnley FC (	1	2
5754	Blackburn Rovers FC (	Huddersfield Town AFC (	0	2
5755	Bolton Wanderers FC (	Middlesbrough FC (	1	2
5756	Brentford FC (	Bristol City FC (	1	1
5757	Cardiff City FC (	Queens Park Rangers FC (	0	0
5758	Charlton Athletic FC (	Derby County FC (	0	1
5759	Leeds United FC (	Reading FC (	3	2
5760	Preston North End FC (	Milton Keynes Dons FC (	1	1
5761	Rotherham United FC (	Nottingham Forest FC (	0	0
5762	Sheffield Wednesday FC (	Ipswich Town FC (	1	1
5763	Birmingham City FC (	Preston North End FC (	2	2
5764	Bolton Wanderers FC (	Charlton Athletic FC (	0	0
5765	Brentford FC (	Cardiff City FC (	2	1
5766	Brighton & Hove Albion FC (	Queens Park Rangers FC (	4	0
5767	Bristol City FC (	Derby County FC (	2	3
5768	Burnley FC (	Middlesbrough FC (	1	1
5769	Ipswich Town FC (	Fulham FC (	1	1
5770	Leeds United FC (	Wolverhampton Wanderers FC (	2	1
5771	Nottingham Forest FC (	Blackburn Rovers FC (	1	1
5772	Reading FC (	Hull City AFC (	1	2
5773	Rotherham United FC (	Huddersfield Town AFC (	1	1
5774	Sheffield Wednesday FC (	Milton Keynes Dons FC (	0	0
5775	Preston North End FC (	Burnley FC (	0	1
5776	Blackburn Rovers FC (	Bristol City FC (	2	2
5777	Cardiff City FC (	Bolton Wanderers FC (	2	1
5778	Charlton Athletic FC (	Brighton & Hove Albion FC (	1	3
5779	Derby County FC (	Sheffield Wednesday FC (	1	1
5780	Fulham FC (	Nottingham Forest FC (	1	3
5781	Huddersfield Town AFC (	Birmingham City FC (	1	1
5782	Hull City AFC (	Leeds United FC (	2	2
5783	Middlesbrough FC (	Ipswich Town FC (	0	0
5784	Milton Keynes Dons FC (	Brentford FC (	1	4
5785	Queens Park Rangers FC (	Reading FC (	1	1
5786	Wolverhampton Wanderers FC (	Rotherham United FC (	0	0
5787	Hull City AFC (	Brentford FC (	2	0
5788	Birmingham City FC (	Middlesbrough FC (	2	2
5789	Bolton Wanderers FC (	Hull City AFC (	1	0
5790	Brentford FC (	Fulham FC (	3	0
5791	Bristol City FC (	Huddersfield Town AFC (	4	0
5792	Ipswich Town FC (	Milton Keynes Dons FC (	3	2
5793	Leeds United FC (	Charlton Athletic FC (	1	2
5794	Nottingham Forest FC (	Wolverhampton Wanderers FC (	1	1
5795	Reading FC (	Preston North End FC (	1	2
5796	Rotherham United FC (	Blackburn Rovers FC (	0	1
5797	Sheffield Wednesday FC (	Cardiff City FC (	3	0
5798	Brighton & Hove Albion FC (	Derby County FC (	1	1
5799	Burnley FC (	Queens Park Rangers FC (	1	0
5800	Blackburn Rovers FC (	Reading FC (	3	1
5801	Cardiff City FC (	Birmingham City FC (	1	1
5802	Charlton Athletic FC (	Burnley FC (	0	3
5803	Derby County FC (	Ipswich Town FC (	0	1
5804	Fulham FC (	Bolton Wanderers FC (	1	0
5805	Huddersfield Town AFC (	Brentford FC (	1	5
5806	Hull City AFC (	Rotherham United FC (	5	1
5807	Middlesbrough FC (	Brighton & Hove Albion FC (	1	1
5808	Milton Keynes Dons FC (	Nottingham Forest FC (	1	2
5809	Preston North End FC (	Leeds United FC (	1	1
5810	Queens Park Rangers FC (	Bristol City FC (	1	0
5811	Wolverhampton Wanderers FC (	Sheffield Wednesday FC (	2	1
5812	Tea	Tea	F	T
5813	Fulham FC 	Newcastle United FC 	1	0
5814	Birmingham City FC 	Cardiff City FC 	0	0
5815	Blackburn Rovers FC 	Norwich City FC 	1	4
5816	Bristol City FC 	Wigan Athletic FC 	2	1
5817	Derby County FC 	Brighton & Hove Albion FC 	0	0
5818	Huddersfield Town AFC 	Brentford FC 	2	1
5819	Ipswich Town FC 	Barnsley FC 	4	2
5820	Nottingham Forest FC 	Burton Albion FC 	4	3
5821	Reading FC 	Preston North End FC 	1	0
5822	Rotherham United FC 	Wolverhampton Wanderers FC 	2	2
5823	Queens Park Rangers FC 	Leeds United FC 	3	0
5824	Sheffield Wednesday FC 	Aston Villa FC 	1	0
5825	Brighton & Hove Albion FC 	Nottingham Forest FC 	3	0
5826	Aston Villa FC 	Rotherham United FC 	3	0
5827	Barnsley FC 	Derby County FC 	2	0
5828	Brentford FC 	Ipswich Town FC 	2	0
5829	Burton Albion FC 	Bristol City FC 	1	2
5830	Leeds United FC 	Birmingham City FC 	1	2
5831	Newcastle United FC 	Huddersfield Town AFC 	1	2
5832	Norwich City FC 	Sheffield Wednesday FC 	0	0
5833	Preston North End FC 	Fulham FC 	1	2
5834	Wigan Athletic FC 	Blackburn Rovers FC 	3	0
5835	Wolverhampton Wanderers FC 	Reading FC 	2	0
5836	Cardiff City FC 	Queens Park Rangers FC 	0	2
5837	Aston Villa FC 	Huddersfield Town AFC 	1	1
5838	Brentford FC 	Nottingham Forest FC 	1	0
5839	Brighton & Hove Albion FC 	Rotherham United FC 	3	0
5840	Burton Albion FC 	Sheffield Wednesday FC 	3	1
5841	Leeds United FC 	Fulham FC 	1	1
5842	Norwich City FC 	Bristol City FC 	1	0
5843	Preston North End FC 	Derby County FC 	0	1
5844	Wigan Athletic FC 	Birmingham City FC 	1	1
5845	Wolverhampton Wanderers FC 	Ipswich Town FC 	0	0
5846	Barnsley FC 	Queens Park Rangers FC 	3	2
5847	Cardiff City FC 	Blackburn Rovers FC 	2	1
5848	Newcastle United FC 	Reading FC 	4	1
5849	Birmingham City FC 	Wolverhampton Wanderers FC 	1	3
5850	Blackburn Rovers FC 	Burton Albion FC 	2	2
5851	Bristol City FC 	Newcastle United FC 	0	1
5852	Derby County FC 	Aston Villa FC 	0	0
5853	Fulham FC 	Cardiff City FC 	2	2
5854	Huddersfield Town AFC 	Barnsley FC 	2	1
5855	Nottingham Forest FC 	Wigan Athletic FC 	4	3
5856	Queens Park Rangers FC 	Preston North End FC 	0	2
5857	Reading FC 	Brighton & Hove Albion FC 	2	2
5858	Rotherham United FC 	Brentford FC 	1	0
5859	Sheffield Wednesday FC 	Leeds United FC 	0	2
5860	Ipswich Town FC 	Norwich City FC 	1	1
5861	Burton Albion FC 	Derby County FC 	1	0
5862	Barnsley FC 	Rotherham United FC 	4	0
5863	Birmingham City FC 	Norwich City FC 	3	0
5864	Blackburn Rovers FC 	Fulham FC 	0	1
5865	Brentford FC 	Sheffield Wednesday FC 	1	1
5866	Bristol City FC 	Aston Villa FC 	3	1
5867	Cardiff City FC 	Reading FC 	0	1
5868	Huddersfield Town AFC 	Wolverhampton Wanderers FC 	1	0
5869	Ipswich Town FC 	Preston North End FC 	1	0
5870	Newcastle United FC 	Brighton & Hove Albion FC 	2	0
5871	Nottingham Forest FC 	Leeds United FC 	3	1
5872	Wigan Athletic FC 	Queens Park Rangers FC 	0	1
5873	Reading FC 	Ipswich Town FC 	2	1
5874	Brighton & Hove Albion FC 	Brentford FC 	0	2
5875	Derby County FC 	Newcastle United FC 	0	2
5876	Fulham FC 	Birmingham City FC 	0	1
5877	Leeds United FC 	Huddersfield Town AFC 	0	1
5878	Norwich City FC 	Cardiff City FC 	3	2
5879	Preston North End FC 	Barnsley FC 	1	2
5880	Queens Park Rangers FC 	Blackburn Rovers FC 	1	1
5881	Rotherham United FC 	Bristol City FC 	2	2
5882	Sheffield Wednesday FC 	Wigan Athletic FC 	2	1
5883	Wolverhampton Wanderers FC 	Burton Albion FC 	1	1
5884	Aston Villa FC 	Nottingham Forest FC 	2	2
5885	Brighton & Hove Albion FC 	Huddersfield Town AFC 	1	0
5886	Derby County FC 	Ipswich Town FC 	0	1
5887	Fulham FC 	Burton Albion FC 	1	1
5888	Leeds United FC 	Blackburn Rovers FC 	2	1
5889	Norwich City FC 	Wigan Athletic FC 	2	1
5890	Preston North End FC 	Cardiff City FC 	3	0
5891	Queens Park Rangers FC 	Newcastle United FC 	0	6
5892	Reading FC 	Birmingham City FC 	0	0
5893	Sheffield Wednesday FC 	Bristol City FC 	3	2
5894	Wolverhampton Wanderers FC 	Barnsley FC 	0	4
5895	Aston Villa FC 	Brentford FC 	1	1
5896	Rotherham United FC 	Nottingham Forest FC 	2	2
5897	Barnsley FC 	Reading FC 	1	2
5898	Birmingham City FC 	Sheffield Wednesday FC 	2	1
5899	Blackburn Rovers FC 	Rotherham United FC 	4	2
5900	Brentford FC 	Preston North End FC 	5	0
5901	Bristol City FC 	Derby County FC 	1	1
5902	Burton Albion FC 	Brighton & Hove Albion FC 	0	1
5903	Cardiff City FC 	Leeds United FC 	0	2
5904	Huddersfield Town AFC 	Queens Park Rangers FC 	2	1
5905	Ipswich Town FC 	Aston Villa FC 	0	0
5906	Newcastle United FC 	Wolverhampton Wanderers FC 	0	2
5907	Nottingham Forest FC 	Norwich City FC 	1	2
5908	Wigan Athletic FC 	Fulham FC 	0	0
5909	Preston North End FC 	Wigan Athletic FC 	1	0
5910	Aston Villa FC 	Newcastle United FC 	1	1
5911	Brighton & Hove Albion FC 	Barnsley FC 	2	0
5912	Derby County FC 	Blackburn Rovers FC 	1	2
5913	Fulham FC 	Bristol City FC 	0	4
5914	Leeds United FC 	Ipswich Town FC 	1	0
5915	Norwich City FC 	Burton Albion FC 	3	1
5916	Queens Park Rangers FC 	Birmingham City FC 	1	1
5917	Reading FC 	Huddersfield Town AFC 	1	0
5918	Rotherham United FC 	Cardiff City FC 	1	2
5919	Sheffield Wednesday FC 	Nottingham Forest FC 	2	1
5920	Wolverhampton Wanderers FC 	Brentford FC 	3	1
5921	Barnsley FC (	Aston Villa FC (	1	1
5922	Birmingham City FC (	Preston North End FC (	2	2
5923	Blackburn Rovers FC (	Sheffield Wednesday FC (	0	1
5924	Brentford FC (	Reading FC (	4	1
5925	Bristol City FC (	Leeds United FC (	1	0
5926	Burton Albion FC (	Queens Park Rangers FC (	1	1
5927	Cardiff City FC (	Derby County FC (	0	2
5928	Huddersfield Town AFC (	Rotherham United FC (	2	1
5929	Ipswich Town FC (	Brighton & Hove Albion FC (	0	0
5930	Nottingham Forest FC (	Fulham FC (	1	1
5931	Wigan Athletic FC (	Wolverhampton Wanderers FC (	2	1
5932	Newcastle United FC (	Norwich City FC (	4	3
5933	Birmingham City FC (	Blackburn Rovers FC (	1	0
5934	Brentford FC (	Wigan Athletic FC (	0	0
5935	Bristol City FC (	Nottingham Forest FC (	2	1
5936	Burton Albion FC (	Cardiff City FC (	2	0
5937	Fulham FC (	Queens Park Rangers FC (	1	2
5938	Ipswich Town FC (	Huddersfield Town AFC (	0	1
5939	Leeds United FC (	Barnsley FC (	2	1
5940	Preston North End FC (	Aston Villa FC (	2	0
5941	Reading FC (	Derby County FC (	1	1
5942	Rotherham United FC (	Newcastle United FC (	0	1
5943	Sheffield Wednesday FC (	Brighton & Hove Albion FC (	1	2
5944	Wolverhampton Wanderers FC (	Norwich City FC (	1	2
5945	Cardiff City FC (	Bristol City FC (	2	1
5946	Nottingham Forest FC (	Birmingham City FC (	3	1
5947	Aston Villa FC (	Wolverhampton Wanderers FC (	1	1
5948	Barnsley FC (	Fulham FC (	2	4
5949	Blackburn Rovers FC (	Ipswich Town FC (	0	0
5950	Brighton & Hove Albion FC (	Preston North End FC (	2	2
5951	Derby County FC (	Leeds United FC (	1	0
5952	Newcastle United FC (	Brentford FC (	3	1
5953	Norwich City FC (	Rotherham United FC (	3	1
5954	Queens Park Rangers FC (	Reading FC (	1	1
5955	Wigan Athletic FC (	Burton Albion FC (	0	0
5956	Huddersfield Town AFC (	Sheffield Wednesday FC (	0	1
5957	Barnsley FC (	Newcastle United FC (	0	2
5958	Birmingham City FC (	Rotherham United FC (	4	2
5959	Blackburn Rovers FC (	Nottingham Forest FC (	2	1
5960	Brighton & Hove Albion FC (	Wolverhampton Wanderers FC (	1	0
5961	Derby County FC (	Brentford FC (	0	0
5962	Fulham FC (	Norwich City FC (	2	2
5963	Ipswich Town FC (	Burton Albion FC (	2	0
5964	Leeds United FC (	Wigan Athletic FC (	1	1
5965	Queens Park Rangers FC (	Bristol City FC (	1	0
5966	Reading FC (	Aston Villa FC (	1	2
5967	Cardiff City FC (	Sheffield Wednesday FC (	1	1
5968	Preston North End FC (	Huddersfield Town AFC (	3	1
5969	Burton Albion FC (	Birmingham City FC (	2	0
5970	Aston Villa FC (	Fulham FC (	1	0
5971	Brentford FC (	Barnsley FC (	0	2
5972	Bristol City FC (	Blackburn Rovers FC (	1	0
5973	Huddersfield Town AFC (	Derby County FC (	1	0
5974	Newcastle United FC (	Ipswich Town FC (	3	0
5975	Norwich City FC (	Preston North End FC (	0	1
5976	Nottingham Forest FC (	Cardiff City FC (	1	2
5977	Rotherham United FC (	Reading FC (	0	1
5978	Sheffield Wednesday FC (	Queens Park Rangers FC (	1	0
5979	Wigan Athletic FC (	Brighton & Hove Albion FC (	0	1
5980	Wolverhampton Wanderers FC (	Leeds United FC (	0	1
5981	Queens Park Rangers FC (	Brentford FC (	0	2
5982	Barnsley FC (	Bristol City FC (	2	2
5983	Blackburn Rovers FC (	Wolverhampton Wanderers FC (	1	1
5984	Brighton & Hove Albion FC (	Norwich City FC (	5	0
5985	Cardiff City FC (	Wigan Athletic FC (	0	1
5986	Derby County FC (	Sheffield Wednesday FC (	2	0
5987	Fulham FC (	Huddersfield Town AFC (	5	0
5988	Ipswich Town FC (	Rotherham United FC (	2	2
5989	Leeds United FC (	Burton Albion FC (	2	0
5990	Preston North End FC (	Newcastle United FC (	1	2
5991	Reading FC (	Nottingham Forest FC (	2	0
5992	Birmingham City FC (	Aston Villa FC (	1	1
5993	Brentford FC (	Fulham FC (	0	2
5994	Aston Villa FC (	Blackburn Rovers FC (	2	1
5995	Bristol City FC (	Brighton & Hove Albion FC (	0	2
5996	Burton Albion FC (	Barnsley FC (	0	0
5997	Huddersfield Town AFC (	Birmingham City FC (	1	1
5998	Newcastle United FC (	Cardiff City FC (	2	1
5999	Norwich City FC (	Leeds United FC (	2	3
6000	Nottingham Forest FC (	Queens Park Rangers FC (	1	1
6001	Rotherham United FC (	Preston North End FC (	1	3
6002	Sheffield Wednesday FC (	Ipswich Town FC (	1	2
6003	Wigan Athletic FC (	Reading FC (	0	3
6004	Wolverhampton Wanderers FC (	Derby County FC (	2	3
6005	Brighton & Hove Albion FC (	Aston Villa FC (	1	1
6006	Barnsley FC (	Wigan Athletic FC (	0	0
6007	Birmingham City FC (	Bristol City FC (	1	0
6008	Blackburn Rovers FC (	Brentford FC (	3	2
6009	Cardiff City FC (	Huddersfield Town AFC (	3	2
6010	Derby County FC (	Rotherham United FC (	3	0
6011	Fulham FC (	Sheffield Wednesday FC (	1	1
6012	Ipswich Town FC (	Nottingham Forest FC (	0	2
6013	Preston North End FC (	Wolverhampton Wanderers FC (	0	0
6014	Queens Park Rangers FC (	Norwich City FC (	2	1
6015	Reading FC (	Burton Albion FC (	3	0
6016	Leeds United FC (	Newcastle United FC (	0	2
6017	Barnsley FC (	Nottingham Forest FC (	2	5
6018	Aston Villa FC (	Cardiff City FC (	3	1
6019	Brentford FC (	Birmingham City FC (	1	2
6020	Brighton & Hove Albion FC (	Fulham FC (	2	1
6021	Derby County FC (	Norwich City FC (	1	0
6022	Ipswich Town FC (	Queens Park Rangers FC (	3	0
6023	Newcastle United FC (	Blackburn Rovers FC (	0	1
6024	Preston North End FC (	Burton Albion FC (	1	1
6025	Reading FC (	Bristol City FC (	2	1
6026	Rotherham United FC (	Leeds United FC (	1	2
6027	Wolverhampton Wanderers FC (	Sheffield Wednesday FC (	0	2
6028	Huddersfield Town AFC (	Wigan Athletic FC (	1	2
6029	Queens Park Rangers FC (	Wolverhampton Wanderers FC (	1	2
6030	Nottingham Forest FC (	Newcastle United FC (	2	1
6031	Birmingham City FC (	Barnsley FC (	0	3
6032	Blackburn Rovers FC (	Huddersfield Town AFC (	1	1
6033	Bristol City FC (	Ipswich Town FC (	2	0
6034	Burton Albion FC (	Rotherham United FC (	2	1
6035	Cardiff City FC (	Brighton & Hove Albion FC (	0	0
6036	Fulham FC (	Reading FC (	5	0
6037	Leeds United FC (	Aston Villa FC (	2	0
6038	Norwich City FC (	Brentford FC (	5	0
6039	Sheffield Wednesday FC (	Preston North End FC (	2	1
6040	Wigan Athletic FC (	Derby County FC (	0	1
6041	Brighton & Hove Albion FC (	Leeds United FC (	2	0
6042	Aston Villa FC (	Wigan Athletic FC (	1	0
6043	Barnsley FC (	Norwich City FC (	2	1
6044	Brentford FC (	Burton Albion FC (	2	1
6045	Huddersfield Town AFC (	Bristol City FC (	2	1
6046	Ipswich Town FC (	Cardiff City FC (	1	1
6047	Newcastle United FC (	Birmingham City FC (	4	0
6048	Preston North End FC (	Blackburn Rovers FC (	3	2
6049	Reading FC (	Sheffield Wednesday FC (	2	1
6050	Rotherham United FC (	Queens Park Rangers FC (	1	0
6051	Wolverhampton Wanderers FC (	Fulham FC (	4	4
6052	Derby County FC (	Nottingham Forest FC (	3	0
6053	Birmingham City FC (	Ipswich Town FC (	2	1
6054	Blackburn Rovers FC (	Brighton & Hove Albion FC (	2	3
6055	Bristol City FC (	Brentford FC (	0	1
6056	Burton Albion FC (	Huddersfield Town AFC (	0	1
6057	Cardiff City FC (	Wolverhampton Wanderers FC (	2	1
6058	Fulham FC (	Rotherham United FC (	2	1
6059	Leeds United FC (	Reading FC (	2	0
6060	Norwich City FC (	Aston Villa FC (	1	0
6061	Sheffield Wednesday FC (	Barnsley FC (	2	0
6062	Nottingham Forest FC (	Preston North End FC (	1	1
6063	Queens Park Rangers FC (	Derby County FC (	0	1
6064	Wigan Athletic FC (	Newcastle United FC (	0	2
6065	Norwich City FC (	Huddersfield Town AFC (	1	2
6066	Birmingham City FC (	Brighton & Hove Albion FC (	1	2
6067	Blackburn Rovers FC (	Reading FC (	2	3
6068	Bristol City FC (	Preston North End FC (	1	2
6069	Burton Albion FC (	Newcastle United FC (	1	2
6070	Cardiff City FC (	Barnsley FC (	3	4
6071	Fulham FC (	Derby County FC (	2	2
6072	Leeds United FC (	Brentford FC (	1	0
6073	Nottingham Forest FC (	Wolverhampton Wanderers FC (	0	2
6074	Sheffield Wednesday FC (	Rotherham United FC (	1	0
6075	Wigan Athletic FC (	Ipswich Town FC (	2	3
6076	Queens Park Rangers FC (	Aston Villa FC (	0	1
6077	Aston Villa FC (	Burton Albion FC (	2	1
6078	Barnsley FC (	Blackburn Rovers FC (	2	0
6079	Brentford FC (	Cardiff City FC (	2	2
6080	Huddersfield Town AFC (	Nottingham Forest FC (	2	1
6081	Ipswich Town FC (	Fulham FC (	0	2
6082	Newcastle United FC (	Sheffield Wednesday FC (	0	1
6083	Preston North End FC (	Leeds United FC (	1	4
6084	Reading FC (	Norwich City FC (	3	1
6085	Rotherham United FC (	Wigan Athletic FC (	3	2
6086	Wolverhampton Wanderers FC (	Bristol City FC (	3	2
6087	Brighton & Hove Albion FC (	Queens Park Rangers FC (	3	0
6088	Derby County FC (	Birmingham City FC (	1	0
6089	Aston Villa FC (	Leeds United FC (	1	1
6090	Rotherham United FC (	Burton Albion FC (	1	2
6091	Ipswich Town FC (	Bristol City FC (	2	1
6092	Newcastle United FC (	Nottingham Forest FC (	3	1
6093	Barnsley FC (	Birmingham City FC (	2	2
6094	Brentford FC (	Norwich City FC (	0	0
6095	Derby County FC (	Wigan Athletic FC (	0	0
6096	Huddersfield Town AFC (	Blackburn Rovers FC (	1	1
6097	Preston North End FC (	Sheffield Wednesday FC (	1	1
6098	Wolverhampton Wanderers FC (	Queens Park Rangers FC (	1	2
6099	Birmingham City FC (	Brentford FC (	1	3
6100	Blackburn Rovers FC (	Newcastle United FC (	1	0
6101	Bristol City FC (	Reading FC (	2	3
6102	Burton Albion FC (	Preston North End FC (	0	1
6103	Cardiff City FC (	Aston Villa FC (	1	0
6104	Fulham FC (	Brighton & Hove Albion FC (	1	2
6105	Leeds United FC (	Rotherham United FC (	3	0
6106	Norwich City FC (	Derby County FC (	3	0
6107	Nottingham Forest FC (	Barnsley FC (	0	1
6108	Queens Park Rangers FC (	Ipswich Town FC (	2	1
6109	Sheffield Wednesday FC (	Wolverhampton Wanderers FC (	0	0
6110	Wigan Athletic FC (	Huddersfield Town AFC (	0	1
6111	Reading FC (	Queens Park Rangers FC (	0	1
6112	Leeds United FC (	Derby County FC (	1	0
6113	Birmingham City FC (	Nottingham Forest FC (	0	0
6114	Brentford FC (	Newcastle United FC (	1	2
6115	Bristol City FC (	Cardiff City FC (	2	3
6116	Burton Albion FC (	Wigan Athletic FC (	0	2
6117	Fulham FC (	Barnsley FC (	2	0
6118	Ipswich Town FC (	Blackburn Rovers FC (	3	2
6119	Preston North End FC (	Brighton & Hove Albion FC (	2	0
6120	Rotherham United FC (	Norwich City FC (	2	1
6121	Sheffield Wednesday FC (	Huddersfield Town AFC (	2	0
6122	Wolverhampton Wanderers FC (	Aston Villa FC (	1	0
6123	Brighton & Hove Albion FC (	Sheffield Wednesday FC (	2	1
6124	Aston Villa FC (	Preston North End FC (	2	2
6125	Barnsley FC (	Leeds United FC (	3	2
6126	Blackburn Rovers FC (	Birmingham City FC (	1	1
6127	Cardiff City FC (	Burton Albion FC (	1	0
6128	Derby County FC (	Reading FC (	3	2
6129	Huddersfield Town AFC (	Ipswich Town FC (	2	0
6130	Newcastle United FC (	Rotherham United FC (	4	0
6131	Norwich City FC (	Wolverhampton Wanderers FC (	3	1
6132	Nottingham Forest FC (	Bristol City FC (	1	0
6133	Queens Park Rangers FC (	Fulham FC (	1	1
6134	Wigan Athletic FC (	Brentford FC (	2	1
6135	Brighton & Hove Albion FC (	Cardiff City FC (	1	0
6136	Reading FC (	Fulham FC (	1	0
6137	Leeds United FC (	Nottingham Forest FC (	2	0
6138	Norwich City FC (	Birmingham City FC (	2	0
6139	Preston North End FC (	Ipswich Town FC (	1	1
6140	Queens Park Rangers FC (	Burton Albion FC (	1	2
6141	Reading FC (	Cardiff City FC (	2	1
6142	Rotherham United FC (	Barnsley FC (	0	1
6143	Barnsley FC (	Wolverhampton Wanderers FC (	1	3
6144	Birmingham City FC (	Reading FC (	0	1
6145	Brentford FC (	Aston Villa FC (	3	0
6146	Bristol City FC (	Sheffield Wednesday FC (	2	2
6147	Cardiff City FC (	Preston North End FC (	2	0
6148	Ipswich Town FC (	Derby County FC (	0	3
6149	Nottingham Forest FC (	Rotherham United FC (	2	0
6150	Blackburn Rovers FC (	Leeds United FC (	1	2
6151	Burton Albion FC (	Fulham FC (	0	2
6152	Newcastle United FC (	Queens Park Rangers FC (	2	2
6153	Huddersfield Town AFC (	Brighton & Hove Albion FC (	3	1
6154	Wigan Athletic FC (	Sheffield Wednesday FC (	0	1
6155	Barnsley FC (	Preston North End FC (	0	0
6156	Birmingham City FC (	Fulham FC (	1	0
6157	Blackburn Rovers FC (	Queens Park Rangers FC (	1	0
6158	Bristol City FC (	Rotherham United FC (	1	0
6159	Burton Albion FC (	Wolverhampton Wanderers FC (	2	1
6160	Cardiff City FC (	Norwich City FC (	0	1
6161	Ipswich Town FC (	Reading FC (	2	2
6162	Newcastle United FC (	Derby County FC (	1	0
6163	Nottingham Forest FC (	Aston Villa FC (	2	1
6164	Brentford FC (	Brighton & Hove Albion FC (	3	3
